"code","timestamp","trade_timestamp","trade_price","trade_volume","ask_bid","prev_closing_price","change","change_price","sequential_id"
"KRW-BTC",1575565396512,1575565396000,8605000.0,0.04918971,"ASK",8515000.0,"RISE",90000.0,1575565396000000
"KRW-BTC",1575565396543,1575565396000,8605000.0,0.001,"ASK",8515000.0,"RISE",90000.0,1575565396000001
"KRW-BTC",1575565396555,1575565396000,8605000.0,0.03476129,"ASK",8515000.0,"RISE",90000.0,1575565396000002
"KRW-BTC",1575565399082,1575565398000,8605000.0,8.473e-05,"ASK",8515000.0,"RISE",90000.0,1575565398000000
"KRW-BTC",1575565399155,1575565398000,8605000.0,0.05401912,"ASK",8515000.0,"RISE",90000.0,1575565398000001
"KRW-BTC",1575565399165,1575565398000,8603000.0,0.01861834,"ASK",8515000.0,"RISE",88000.0,1575565398000002
"KRW-BTC",1575565399178,1575565399000,8602000.0,0.19334023,"ASK",8515000.0,"RISE",87000.0,1575565399000000
"KRW-BCH",1575565409780,1575565409000,245700.0,24.023,"ASK",244300.0,"RISE",1400.0,1575565409000000
"KRW-BTC",1575565410199,1575565409000,8602000.0,0.14665977,"ASK",8515000.0,"RISE",87000.0,1575565409000000
"KRW-BTC",1575565410230,1575565409000,8602000.0,0.18292998,"ASK",8515000.0,"RISE",87000.0,1575565409000001
"KRW-BTC",1575565410280,1575565409000,8602000.0,0.00787144,"ASK",8515000.0,"RISE",87000.0,1575565409000002
"KRW-BTC",1575565410306,1575565409000,8602000.0,0.0058126,"ASK",8515000.0,"RISE",87000.0,1575565409000003
"KRW-BTC",1575565410319,1575565409000,8602000.0,0.10238556,"ASK",8515000.0,"RISE",87000.0,1575565409000004
"KRW-BTC",1575565410333,1575565409000,8601000.0,0.00322087,"ASK",8515000.0,"RISE",86000.0,1575565409000005
"KRW-BTC",1575565410346,1575565409000,8601000.0,0.02225005,"ASK",8515000.0,"RISE",86000.0,1575565409000006
"KRW-BTC",1575565410357,1575565409000,8601000.0,0.002,"ASK",8515000.0,"RISE",86000.0,1575565409000007
"KRW-BTC",1575565410368,1575565410000,8601000.0,0.00291343,"ASK",8515000.0,"RISE",86000.0,1575565410000000
"KRW-BTC",1575565410381,1575565410000,8601000.0,0.040939,"ASK",8515000.0,"RISE",86000.0,1575565410000001
"KRW-BTC",1575565410563,1575565410000,8600000.0,0.01595623,"ASK",8515000.0,"RISE",85000.0,1575565410000002
"KRW-BTC",1575565411515,1575565411000,8600000.0,1.26419352,"ASK",8515000.0,"RISE",85000.0,1575565411000000
"KRW-BTC",1575565411548,1575565411000,8600000.0,0.090592,"ASK",8515000.0,"RISE",85000.0,1575565411000001
"KRW-BTC",1575565411936,1575565411000,8600000.0,0.09482024,"ASK",8515000.0,"RISE",85000.0,1575565411000002
"KRW-BTC",1575565411968,1575565411000,8600000.0,0.00121799,"ASK",8515000.0,"RISE",85000.0,1575565411000003
"KRW-BTC",1575565411977,1575565411000,8600000.0,0.00049473,"ASK",8515000.0,"RISE",85000.0,1575565411000004
"KRW-BTC",1575565411990,1575565411000,8600000.0,0.15906704,"ASK",8515000.0,"RISE",85000.0,1575565411000005
"KRW-BTC",1575565412045,1575565410000,8600000.0,0.2,"ASK",8515000.0,"RISE",85000.0,1575565410000003
"KRW-BTC",1575565412075,1575565410000,8600000.0,0.00301819,"ASK",8515000.0,"RISE",85000.0,1575565410000004
"KRW-BTC",1575565412084,1575565410000,8600000.0,0.01201662,"ASK",8515000.0,"RISE",85000.0,1575565410000005
"KRW-BTC",1575565412096,1575565410000,8600000.0,0.00012,"ASK",8515000.0,"RISE",85000.0,1575565410000006
"KRW-BTC",1575565412108,1575565410000,8600000.0,0.0002,"ASK",8515000.0,"RISE",85000.0,1575565410000007
"KRW-BTC",1575565412121,1575565410000,8600000.0,0.00581395,"ASK",8515000.0,"RISE",85000.0,1575565410000008
"KRW-BTC",1575565412133,1575565410000,8600000.0,0.02325581,"ASK",8515000.0,"RISE",85000.0,1575565410000009
"KRW-BTC",1575565412145,1575565410000,8600000.0,0.00015,"ASK",8515000.0,"RISE",85000.0,1575565410000010
"KRW-BTC",1575565412156,1575565411000,8600000.0,0.11627906,"ASK",8515000.0,"RISE",85000.0,1575565411000006
"KRW-BTC",1575565412168,1575565411000,8600000.0,0.00016352,"ASK",8515000.0,"RISE",85000.0,1575565411000007
"KRW-BTC",1575565412181,1575565411000,8600000.0,0.01,"ASK",8515000.0,"RISE",85000.0,1575565411000008
"KRW-BTC",1575565412191,1575565411000,8600000.0,0.005,"ASK",8515000.0,"RISE",85000.0,1575565411000009
"KRW-BTC",1575565412204,1575565411000,8600000.0,1.48554255,"ASK",8515000.0,"RISE",85000.0,1575565411000010
"KRW-BTC",1575565412216,1575565411000,8600000.0,0.5,"ASK",8515000.0,"RISE",85000.0,1575565411000011
"KRW-BTC",1575565412227,1575565411000,8600000.0,0.00268796,"ASK",8515000.0,"RISE",85000.0,1575565411000012
"KRW-BTC",1575565412239,1575565411000,8600000.0,0.0005,"ASK",8515000.0,"RISE",85000.0,1575565411000013
"KRW-BTC",1575565412249,1575565411000,8600000.0,0.01022233,"ASK",8515000.0,"RISE",85000.0,1575565411000014
"KRW-BTC",1575565412262,1575565411000,8600000.0,1.0,"ASK",8515000.0,"RISE",85000.0,1575565411000015
"KRW-BTC",1575565412273,1575565411000,8600000.0,3.62503001,"ASK",8515000.0,"RISE",85000.0,1575565411000016
"KRW-BTC",1575565412441,1575565411000,8600000.0,1.24610305,"ASK",8515000.0,"RISE",85000.0,1575565411000017
"KRW-BTC",1575565412453,1575565411000,8600000.0,0.29532,"ASK",8515000.0,"RISE",85000.0,1575565411000018
"KRW-BTC",1575565412473,1575565411000,8600000.0,0.1,"ASK",8515000.0,"RISE",85000.0,1575565411000019
"KRW-BTC",1575565412484,1575565411000,8600000.0,0.00810973,"ASK",8515000.0,"RISE",85000.0,1575565411000020
"KRW-BTC",1575565412487,1575565411000,8600000.0,0.04651162,"ASK",8515000.0,"RISE",85000.0,1575565411000021
"KRW-BTC",1575565412496,1575565412000,8599000.0,0.00226354,"ASK",8515000.0,"RISE",84000.0,1575565412000000
"KRW-BTC",1575565412500,1575565411000,8600000.0,0.10164243,"ASK",8515000.0,"RISE",85000.0,1575565411000022
"KRW-BTC",1575565412508,1575565412000,8599000.0,0.00116292,"ASK",8515000.0,"RISE",84000.0,1575565412000001
"KRW-BTC",1575565412515,1575565411000,8600000.0,0.00012,"ASK",8515000.0,"RISE",85000.0,1575565411000023
"KRW-BTC",1575565412519,1575565412000,8599000.0,0.00012,"ASK",8515000.0,"RISE",84000.0,1575565412000002
"KRW-BTC",1575565412531,1575565412000,8599000.0,0.00237333,"ASK",8515000.0,"RISE",84000.0,1575565412000003
"KRW-BTC",1575565412544,1575565412000,8599000.0,0.13986743,"ASK",8515000.0,"RISE",84000.0,1575565412000004
"KRW-BTC",1575565412572,1575565412000,8600000.0,0.035,"ASK",8515000.0,"RISE",85000.0,1575565412000005
"KRW-BTC",1575565412588,1575565412000,8600000.0,1.0,"ASK",8515000.0,"RISE",85000.0,1575565412000006
"KRW-BTC",1575565412599,1575565412000,8600000.0,3.67514591,"ASK",8515000.0,"RISE",85000.0,1575565412000007
"KRW-BTC",1575565412615,1575565412000,8600000.0,5.05662837,"ASK",8515000.0,"RISE",85000.0,1575565412000008
"KRW-BTC",1575565412640,1575565412000,8599000.0,0.01584503,"ASK",8515000.0,"RISE",84000.0,1575565412000009
"KRW-BCH",1575565412738,1575565412000,245700.0,7.2,"ASK",244300.0,"RISE",1400.0,1575565412000000
"KRW-ETH",1575565413247,1575565413000,172500.0,0.0115942,"ASK",171650.0,"RISE",850.0,1575565413000000
"KRW-BTC",1575565413319,1575565412000,8598000.0,0.001035,"ASK",8515000.0,"RISE",83000.0,1575565412000010
"KRW-BTC",1575565413349,1575565412000,8598000.0,0.01971742,"ASK",8515000.0,"RISE",83000.0,1575565412000011
"KRW-BTC",1575565413360,1575565412000,8598000.0,0.00012,"ASK",8515000.0,"RISE",83000.0,1575565412000012
